Name,Organization,Project
_NAN_,AOSSIE,Safeguarding from Malicious URLs with UI Enhancement
1209973,SCoRe Lab,Survey 6
5hv5hvnk,NumFOCUS,Create a Model class for easier deployment of PyMC models
A Kishore Kumar,Ste||ar group,Implementing auto-vectorization hints for par_unseq and unseq versions of HPX parallel algorithms
Aadarsh Anantha Ramakrishnan,Open Food Facts,Build a Taxonomy Editor
Aadeesh Oswal,CCExtractor Development,Beacon Backend
Aadil,Inkscape,Modernizing Memory Management
Aaditya Narayan Subedy,CNCF,CNCF Cluster: Performance Benchmarking
Aakash Solanki,The Linux Foundation,Write a flutter demo application demonstrating an Instrument Cluster.
Aakash Tyagi,International Catrobat Association,Awesome Demo Game Project : Alex and the Uncharted Expedition
Aarnav Dhanuka,Blender Foundation,Soft Bodies Simulation using Extended Position-Based Dynamics (XPBD)
Aaron Mayer,Machine Learning for Science (ML4SCI),FASEROH
Aarya,Flashrom,GSoC Project Proposal for Flashrom
Aastha Chauhan,KDE Community,Adding New Activities to GCompris Project
Abdelrahman Amer,Dart,Flutter Community Admin Dashboard
Abdelrahman Khaled Fouad,Python Software Foundation,"Lpython: Implementation of Strings functionalities, interactivity and parser benchmark"
Abdul Wadood,Micro Electronics Research Lab - UITU,Integration of Compressed (C) extension in NucleusRV core
Abdulwasiu Apalowo,libvirt,libvirt-CI: Support for container executions  in libvirt's lcitool using a container library binding
Abhay Kamble,Machine Learning for Science (ML4SCI),Implementation of QGANs to Perform High Energy Physics Analysis at the LHC
Abheesht,TensorFlow,"[KerasNLP] Adding Metrics, Decoding Strategies, Model Encoder Blocks and Data Augmentation APIs"
Abhijay jain,SCoRe Lab,Design 5 new Themes for WebIU
Abhinandan Udupa,CNCF,Implement WASI and wasmedgeprocess host functions on Windows
Abhinav Sharma,openSUSE Project,Analytics Edge Ecosystem Workloads
Abhinav Sinha,Apache Software Foundation,Disaster management for Custos Kubernetes Resources and Persistent Volumes
Abhinav Venkatadri,INCF,Eye-tracker using deep learning with Python + TensorFlow/Pytorch
Abhirath Anand,NumFOCUS,FluxML - Metalhead.jl development
Abhishar,TensorFlow,Addition of new losses to tensorflow similarity
Abhishek U,R project for statistical computing,Converting past R Journal articles to HTML
abhishekbhatt,NumFOCUS,Optimizing SciML Packages With SimpleChains.jl
Abhishekvu,LLVM Compiler Infrastructure,Non-Determinacy based optimizations in Parallel Programs
Abhisman Sarkar,CNCF,Implementing TAP(TUF Augmentation Proposal) 14 for python’s reference implementation
Abhra303,Git,Reachability bitmap improvements
Abin K Paul,Chromium,Expose Render Blocking Status in Resource Timing
Ada Christine Fontaine,TianoCore,Dynamic Linking for EDK2
AdbhutDev,FreeType,Integrate FreeType with alternative font rendering engines
Adesh Nalpet Adimurthy,Our World In Data,Cartograms in Grapher
AdiCoder,freifunk,Call a Friend
Adithya Sunil Edakkadan,Free and Open Source Silicon Foundation,Porting BlackParrot to FuseSoC
Aditi Singh,Cuneiform Digital Library Initiative (CDLI),Seals Portal
Aditya Bathani,Drupal Association,Drupal CSS Modernization Initiative
Aditya Kane,TensorFlow,Contribute to KerasCV and KerasNLP
Aditya Kumar  Singh,CCExtractor Development,Beacon (frontend)
Aditya Narayan Sinha,The Honeynet Project,Creating Playbooks for IntelOwl
Aditya Rajput,Matrix.org,Implement Encrypted Search for Matrix
Aditya Singhal,National Resource for Network Biology (NRNB),Create Jupyter Notebooks showcasing COMBINE Standards
Adonis,MIT App Inventor,Implementing Teachable Machine
Advait Pote,SymPy,Extending the Continuum Mechanics module
Aflah,TensorFlow,Adding Native Support for Text Data Augmentation in KerasNLP alongside Tutorials
aforren1,Chromium,Reducing Chrome’s Presentation Latency on Windows
agadmin,Jitsi,Multiple Recording Storage Providers
Ahkeelah Lindo,INCF,Improving Graphical Interface and User Experience for AnalySim
Ahmad Ateya,JBoss Community,Flotta - Edge Example Application with sensing the Internet
Ahmad Bader,VideoLAN,VLC interactive movie support utility
Ahmed Ibrahim,rocket.chat,Standalone Desktop Messaging cross-platforms Applet
Aiden Grossman,LLVM Compiler Infrastructure,Graph Based Features for Better ML Guided Live Range Eviction Heuristics
Aishwarya Sinhasane,Apache Software Foundation,Airavata Rich Client Based on ElectronJS
Aisulu Karimbaeva,Apache Software Foundation,Runner Comparison / Capability Matrix revamp
Ajinkya,Cuneiform Digital Library Initiative (CDLI),Search Enhancements
Akash Jaiswal,CCExtractor Development,Its Urgent - Flutter App
Akash Mondal,National Resource for Network Biology (NRNB),Updates to the Enrichment Table App
Akash Upadhyay,INCF,TVB Data Importer
Akash Verma,OpenAstronomy,[SunPy] HelioViewer Python API Wrapper
Akash-Ramjyothi,52°North Spatial Information Research GmbH,"enviroCar App: New Features, Improvements and Bug Fixing"
Akash98Sky,The ns-3 Network Simulator Project,TCP maximum segment size (MSS) improvements
Akebu,International Catrobat Association,REFACTORING & REWRITING PRODUCTION CODE AND TESTS TO KOTLIN FOR POCKET PAINT FOR ANDROID
Akhil Jha,PEcAn Project,Continuous Integration / Workflow Hardening
Akshansh Bhatt,Python Software Foundation,LPython: Implementing a Very Fast Parser
Akshat Agarwal,Sugar Labs,Music Blocks 4 Export Import
Akshat Batra,Submitty,Website Security and Penetration Testing
Akshat5302,openSUSE Project,Proposal For gsoc 2022 on Rancher Project
Akshat Tripathi,CCExtractor Development,Flood-Mobile
akshay narisetti,JdeRobot,Robotics Academy: improvement of autonomous driving exercises
Akshay Sharma,Robolectric,To improve shadowOf generation
Akshit Sinha,AnkiDroid,Improve Card Browser
Alan (Bangyan) Zhang,INCF,Automatic Reviewer Matching Using Natural Language Processing: Infrastructure for NBDT Journal
Alapan Chaudhuri,Open Chemistry,Positive Semi-definite Procrustes (PSDP) Problem
Alejandro Illán Marcos,Liquid Galaxy project,Alejandro Illán Marcos GSoC 2022 - Android Application refurbishment
Aleksandra,AOSSIE,Agora Vote iOS app
Alex Rockhill,Python Software Foundation,MNE-Python: Time-Frequency Volumetric Source Space Viewer
Alex Velez,Learning Equality,Improve Accessibility of PDF Renderer
Alex Vong,GNU Octave,GSoC 2022 Symbolic package project proposal
